Transaction_ID,Date,Year,Quarter,Month_Year,Month_Name,Bank,Region,Product,Segment,Channel,Currency,Transaction_Value_GBP,Margin_Pct,Revenue_GBP,Operating_Cost_GBP,Net_Revenue_GBP,Status,Risk_Rating,Customer_Age,Credit_Score,Is_Digital,Is_Flagged
TXN1000034,2022-01-01,2022,Q1 2022,Jan 2022,January,HSBC,Liverpool,Mortgage,Wealth Management,Telephone,GBP,186743.73,1.54,2875.85,1443.68,1432.17,Completed,Low,38,776,0,0
TXN1000293,2022-01-01,2022,Q1 2022,Jan 2022,January,HSBC,Sheffield,Current Account,Retail,Telephone,GBP,4138.25,1.69,69.94,35.11,34.83,Flagged,Low,74,820,0,1
TXN1000341,2022-01-01,2022,Q1 2022,Jan 2022,January,NatWest,Cardiff,Personal Loan,Commercial,Branch,GBP,48806.65,3.89,1898.58,1080.29,818.29,Completed,Low,60,704,0,0
TXN1000435,2022-01-01,2022,Q1 2022,Jan 2022,January,Barclays,London,Savings Account,Commercial,Online,GBP,37878.18,1.09,412.87,248.13,164.74,Completed,Low,57,757,1,0
TXN1001087,2022-01-01,2022,Q1 2022,Jan 2022,January,Lloyds,Edinburgh,Personal Loan,Retail,ATM,GBP,42781.39,6.29,2690.95,1603.81,1087.14,Pending,High,18,610,0,0
TXN1001392,2022-01-01,2022,Q1 2022,Jan 2022,January,HSBC,Glasgow,Mortgage,Commercial,Mobile App,GBP,369637.98,1.23,4546.55,2282.37,2264.18,Completed,Low,43,524,1,0
TXN1001782,2022-01-01,2022,Q1 2022,Jan 2022,January,HSBC,Leeds,Mortgage,Retail,ATM,GBP,79366.4,2.19,1738.12,872.54,865.58,Completed,Medium,51,585,0,0
TXN1002530,2022-01-01,2022,Q1 2022,Jan 2022,January,HSBC,Manchester,Personal Loan,Retail,Mobile App,GBP,16083.07,4.33,696.4,349.59,346.81,Completed,High,49,460,1,0
TXN1003072,2022-01-01,2022,Q1 2022,Jan 2022,January,Santander UK,Birmingham,Mortgage,Retail,ATM,GBP,286406.27,2.1,6014.53,3518.5,2496.03,Completed,Low,48,816,0,0
TXN1003230,2022-01-01,2022,Q1 2022,Jan 2022,January,NatWest,Cardiff,Mortgage,Commercial,Mobile App,GBP,237167.8,1.53,3628.67,2064.71,1563.96,Completed,Low,62,736,1,0
TXN1003490,2022-01-01,2022,Q1 2022,Jan 2022,January,HSBC,Sheffield,Personal Loan,Retail,ATM,GBP,6918.84,4.31,298.2,149.7,148.5,Completed,Low,49,484,0,0
TXN1003794,2022-01-01,2022,Q1 2022,Jan 2022,January,Lloyds,Glasgow,Fixed Term Deposit,Wealth Management,Branch,GBP,58695.11,1.99,1168.03,696.15,471.88,Completed,Low,24,589,0,0
TXN1004828,2022-01-01,2022,Q1 2022,Jan 2022,January,Barclays,London,Savings Account,Retail,Branch,GBP,10310.79,0.96,98.98,59.49,39.49,Completed,Low,40,505,0,0
TXN1000456,2022-01-02,2022,Q1 2022,Jan 2022,January,HSBC,Edinburgh,Fixed Term Deposit,Retail,Telephone,GBP,93356.48,2.66,2483.28,1246.61,1236.67,Completed,Low,75,700,0,0
